Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Albania,ALB,MAL,Zambia,ZMB,3
Albania,ALB,MAL,Zimbabwe,ZWE,3
Algeria,DZA,MAL,Afghanistan,AFG,8
Algeria,DZA,MAL,Albania,ALB,0
Algeria,DZA,MAL,Algeria,DZA,0
Algeria,DZA,MAL,American Samoa,ASM,0
Algeria,DZA,MAL,Andorra,AND,62
Algeria,DZA,MAL,Angola,AGO,0
Algeria,DZA,MAL,Anguilla,AIA,0
Algeria,DZA,MAL,Antigua and Barbuda,ATG,3
Algeria,DZA,MAL,Argentina,ARG,0
Algeria,DZA,MAL,Armenia,ARM,0
Algeria,DZA,MAL,Aruba,ABW,2
Algeria,DZA,MAL,Australia,AUS,582
Algeria,DZA,MAL,Austria,AUT,355
Algeria,DZA,MAL,Azerbaijan,AZE,0
Algeria,DZA,MAL,"Bahamas, The",BHS,2
Algeria,DZA,MAL,Bahrain,BHR,0
Algeria,DZA,MAL,Bangladesh,BGD,57
Algeria,DZA,MAL,Barbados,BRB,0
Algeria,DZA,MAL,Belarus,BLR,0
Algeria,DZA,MAL,Belgium,BEL,7267
Algeria,DZA,MAL,Belize,BLZ,0
Algeria,DZA,MAL,Benin,BEN,45
Algeria,DZA,MAL,Bermuda,BMU,0
Algeria,DZA,MAL,Bhutan,BTN,0
Algeria,DZA,MAL,Bolivia,BOL,0
Algeria,DZA,MAL,Bosnia and Herzegovina,BIH,28
Algeria,DZA,MAL,Botswana,BWA,0
Algeria,DZA,MAL,Brazil,BRA,53
Algeria,DZA,MAL,Brunei Darussalam,BRN,0
Algeria,DZA,MAL,Bulgaria,BGR,26
Algeria,DZA,MAL,Burkina Faso,BFA,85
Algeria,DZA,MAL,Burundi,BDI,0
Algeria,DZA,MAL,Cambodia,KHM,0
Algeria,DZA,MAL,Cameroon,CMR,0
Algeria,DZA,MAL,Canada,CAN,1214
Algeria,DZA,MAL,Cape Verde,CPV,2
Algeria,DZA,MAL,Cayman Islands,CYM,0
Algeria,DZA,MAL,Central African Republic,CAF,3
Algeria,DZA,MAL,Chad,TCD,0
Algeria,DZA,MAL,Channel Islands,CHI,..
Algeria,DZA,MAL,Chile,CHL,8
Algeria,DZA,MAL,China,CHN,0
Algeria,DZA,MAL,Colombia,COL,6
Algeria,DZA,MAL,Comoros,COM,0
Algeria,DZA,MAL,"Congo, Dem. Rep.",COD,126
Algeria,DZA,MAL,"Congo, Rep.",COG,0
Algeria,DZA,MAL,Cook Islands,COK,0
Algeria,DZA,MAL,Costa Rica,CRI,18
Algeria,DZA,MAL,Cote d'Ivoire,CIV,151
Algeria,DZA,MAL,Croatia,HRV,0
Algeria,DZA,MAL,Cuba,CUB,38
Algeria,DZA,MAL,Cyprus,CYP,102
Algeria,DZA,MAL,Czech Republic,CZE,1
Algeria,DZA,MAL,Denmark,DNK,320
Algeria,DZA,MAL,Djibouti,DJI,2
Algeria,DZA,MAL,Dominica,DMA,0
Algeria,DZA,MAL,Dominican Republic,DOM,32
Algeria,DZA,MAL,Ecuador,ECU,1
Algeria,DZA,MAL,"Egypt, Arab Rep.",EGY,680
Algeria,DZA,MAL,El Salvador,SLV,1
Algeria,DZA,MAL,Equatorial Guinea,GNQ,0
Algeria,DZA,MAL,Eritrea,ERI,4
Algeria,DZA,MAL,Estonia,EST,0
Algeria,DZA,MAL,Ethiopia,ETH,40
Algeria,DZA,MAL,Faeroe Islands,FRO,0
Algeria,DZA,MAL,Falkland Islands (Malvinas),FLK,0
